delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,481,4.6230,-0.5304,1.4049,-1.6750
pos,482,4.6251,-0.5128,1.4064,-1.6746
pos,483,4.6271,-0.4953,1.4080,-1.6743
pos,484,4.6292,-0.4778,1.4094,-1.6740
pos,485,4.6312,-0.4602,1.4109,-1.6737
pos,486,4.6331,-0.4426,1.4124,-1.6734
pos,487,4.6351,-0.4249,1.4138,-1.6732
pos,488,4.6370,-0.4072,1.4152,-1.6730
pos,489,4.6390,-0.3894,1.4167,-1.6729
pos,490,4.6409,-0.3715,1.4181,-1.6727
pos,491,4.6428,-0.3535,1.4195,-1.6726
pos,492,4.6446,-0.3354,1.4208,-1.6725
pos,493,4.6465,-0.3171,1.4222,-1.6725
pos,494,4.6484,-0.2990,1.4236,-1.6725
pos,495,4.6502,-0.2810,1.4249,-1.6725
pos,496,4.6520,-0.2631,1.4262,-1.6726
pos,497,4.6538,-0.2453,1.4275,-1.6726
pos,498,4.6556,-0.2276,1.4288,-1.6727
pos,499,4.6573,-0.2099,1.4300,-1.6729
pos,500,4.6591,-0.1924,1.4312,-1.6730
pos,501,4.6608,-0.1749,1.4324,-1.6732
pos,502,4.6625,-0.1576,1.4335,-1.6733
pos,503,4.6642,-0.1403,1.4347,-1.6735
